2023-10-16 10:22:09,081 INFO    StreamThr :9882 [internal.py:wandb_internal():86] W&B internal server running at pid: 9882, started at: 2023-10-16 10:22:09.081541
2023-10-16 10:22:09,082 DEBUG   HandlerThread:9882 [handler.py:handle_request():146] handle_request: status
2023-10-16 10:22:09,085 INFO    WriterThread:9882 [datastore.py:open_for_write():85] open: /Users/braydenrudisill/Projects/MechTransformer/wandb/run-20231016_102209-z99pre01/run-z99pre01.wandb
2023-10-16 10:22:09,085 DEBUG   SenderThread:9882 [sender.py:send():380] send: header
2023-10-16 10:22:09,104 DEBUG   SenderThread:9882 [sender.py:send():380] send: run
2023-10-16 10:22:09,380 INFO    SenderThread:9882 [dir_watcher.py:__init__():211] watching files in: /Users/braydenrudisill/Projects/MechTransformer/wandb/run-20231016_102209-z99pre01/files
2023-10-16 10:22:09,380 INFO    SenderThread:9882 [sender.py:_start_run_threads():1122] run started: z99pre01 with start time 1697476929.082146
2023-10-16 10:22:09,389 DEBUG   HandlerThread:9882 [handler.py:handle_request():146] handle_request: check_version
2023-10-16 10:22:09,389 DEBUG   SenderThread:9882 [sender.py:send_request():407] send_request: check_version
2023-10-16 10:22:09,462 DEBUG   HandlerThread:9882 [handler.py:handle_request():146] handle_request: run_start
2023-10-16 10:22:09,469 DEBUG   HandlerThread:9882 [system_info.py:__init__():32] System info init
2023-10-16 10:22:09,469 DEBUG   HandlerThread:9882 [system_info.py:__init__():47] System info init done
2023-10-16 10:22:09,469 INFO    HandlerThread:9882 [system_monitor.py:start():194] Starting system monitor
2023-10-16 10:22:09,469 INFO    SystemMonitor:9882 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-16 10:22:09,469 INFO    HandlerThread:9882 [system_monitor.py:probe():214] Collecting system info
2023-10-16 10:22:09,470 INFO    SystemMonitor:9882 [interfaces.py:start():190] Started cpu monitoring
2023-10-16 10:22:09,470 INFO    SystemMonitor:9882 [interfaces.py:start():190] Started disk monitoring
2023-10-16 10:22:09,470 INFO    SystemMonitor:9882 [interfaces.py:start():190] Started gpuapple monitoring
2023-10-16 10:22:09,472 DEBUG   HandlerThread:9882 [system_info.py:probe():196] Probing system
2023-10-16 10:22:09,473 INFO    SystemMonitor:9882 [interfaces.py:start():190] Started memory monitoring
2023-10-16 10:22:09,474 INFO    SystemMonitor:9882 [interfaces.py:start():190] Started network monitoring
2023-10-16 10:22:09,478 DEBUG   HandlerThread:9882 [system_info.py:_probe_git():181] Probing git
2023-10-16 10:22:09,499 DEBUG   HandlerThread:9882 [system_info.py:_probe_git():189] Probing git done
2023-10-16 10:22:09,499 DEBUG   HandlerThread:9882 [system_info.py:probe():244] Probing system done
